pitch_name,stand,release_extension,release_pos_x,release_pos_y,release_pos_z,release_speed,release_spin_rate,spin_axis,plate_x,plate_z,pfx_x,pfx_z,balls,strikes,outs_when_up,sz_top,sz_bot,swing
4-Seam Fastball,L,6.05,-2.809,47.88,5.89,93.15,1959.0,22.1,1.58,2.211,1.475,1.037,3,2,2,3.2,1.2,1
4-Seam Fastball,R,6.49,-2.828,49.73,5.732,92.07,2105.0,280.8,0.718,1.877,-1.669,-1.851,2,2,2,3.64,1.23,1
Knuckle Curve,R,5.68,-2.863,49.79,5.919,84.54,1727.0,91.9,-1.574,1.743,1.583,1.71,0,1,2,3.66,1.29,0
Knuckle Curve,L,5.37,-2.804,50.86,5.876,83.27,1953.0,187.9,0.103,4.156,-0.941,0.865,2,0,1,3.86,1.56,0
Changeup,R,5.95,-2.888,49.3,5.929,82.22,1639.0,106.5,0.458,3.415,-0.584,0.202,3,1,0,3.82,1.86,0
Changeup,R,5.64,-2.826,52.13,5.955,86.0,2166.0,27.0,-1.508,1.41,1.642,-1.867,0,1,1,3.14,1.57,0
4-Seam Fastball,R,5.88,-2.547,49.75,6.195,94.55,2305.0,37.9,0.908,1.92,-1.578,1.603,3,0,1,3.42,1.6,0
Cutter,L,5.79,-2.796,47.67,6.099,91.82,2328.0,244.8,0.224,2.903,0.187,-0.586,0,1,2,3.69,1.62,1
4-Seam Fastball,L,6.06,-2.907,47.56,5.916,94.85,1555.0,198.1,-1.128,1.215,-0.138,0.401,0,0,1,3.17,1.35,0
4-Seam Fastball,R,5.74,-2.7,48.6,6.171,92.95,2240.0,324.7,-0.753,3.073,1.177,1.71,2,0,0,3.25,1.13,1
4-Seam Fastball,R,5.74,-2.785,49.09,6.02,92.96,2284.0,190.2,0.104,3.529,1.168,0.251,3,0,2,3.79,1.83,0
Slider,R,6.22,-2.723,50.15,6.014,85.96,1920.0,170.9,-0.454,3.411,1.612,-0.21,3,0,0,3.75,1.34,0
4-Seam Fastball,L,6.13,-2.613,50.31,6.3,95.89,2378.0,236.8,0.283,0.93,1.288,0.605,0,1,2,3.89,1.15,0
Slider,L,5.83,-2.67,49.6,6.08,88.4,2370.0,268.6,-0.161,3.519,1.717,1.478,0,0,1,3.67,1.86,1
4-Seam Fastball,L,6.23,-2.814,48.68,5.96,93.56,1854.0,188.0,-0.137,3.44,1.956,-0.516,0,0,2,3.39,1.46,1
Cutter,R,5.82,-2.863,50.03,5.985,92.04,2315.0,158.3,-0.159,3.807,-0.864,0.251,2,2,0,3.34,1.75,1
4-Seam Fastball,R,6.13,-2.779,49.68,5.921,94.22,2169.0,185.4,-1.169,3.763,-1.101,-1.595,3,2,1,3.14,1.87,0
4-Seam Fastball,R,6.25,-2.695,49.08,6.289,93.04,1679.0,268.2,1.394,3.371,1.196,1.484,3,2,0,3.19,1.56,1
Cutter,R,6.4,-2.807,52.25,6.043,88.96,2643.0,73.8,-0.053,1.481,1.739,1.188,2,0,1,3.72,1.12,1
4-Seam Fastball,R,5.96,-2.913,49.08,5.803,93.45,1460.0,46.9,0.523,3.146,-0.5,-1.808,1,2,0,3.38,1.2,1
4-Seam Fastball,R,5.6,-2.69,49.9,6.154,96.1,2550.0,224.4,1.383,1.975,1.1,-0.188,0,0,1,3.12,1.31,0
Slider,R,6.16,-2.669,50.74,6.3,84.5,2512.0,180.1,-1.261,4.009,1.27,0.889,1,2,2,3.42,1.34,0
Changeup,R,5.9,-2.836,50.54,5.924,84.21,2276.0,240.9,1.112,1.067,-1.789,0.109,2,0,1,3.17,1.61,0
Slider,L,6.13,-2.868,51.21,5.77,86.0,2641.0,240.7,-0.134,3.978,-1.426,1.198,1,0,0,3.2,1.68,0
Slider,L,5.77,-2.954,49.73,5.752,84.79,2261.0,347.3,1.52,1.362,-0.355,0.642,2,2,1,3.31,1.71,0
Changeup,R,6.23,-2.746,49.85,6.077,82.88,2169.0,26.6,-0.753,3.377,1.66,-0.191,3,0,1,3.23,1.73,0
Slider,R,6.0,-2.857,51.65,6.009,85.97,1962.0,81.8,0.271,1.095,0.518,0.331,3,2,2,3.15,1.86,0
4-Seam Fastball,R,6.47,-2.739,49.92,6.084,93.55,2086.0,146.9,-0.035,1.39,1.82,0.948,1,1,0,3.62,1.8,0
4-Seam Fastball,R,6.32,-2.763,49.77,5.983,94.44,2339.0,109.3,0.053,2.648,0.473,1.039,3,1,0,3.37,1.46,1
Cutter,L,6.11,-2.898,49.44,5.706,91.2,1846.0,333.7,1.397,2.531,-1.368,0.097,0,0,0,3.68,1.76,0
Cutter,R,5.84,-2.859,47.52,6.123,92.36,2514.0,148.9,-0.004,3.011,-0.846,-0.952,2,1,1,3.67,1.33,1
Slider,L,6.37,-2.86,49.74,5.721,85.65,1605.0,292.5,-0.412,3.561,-0.076,-0.861,3,1,2,3.11,1.55,1
4-Seam Fastball,R,5.89,-2.786,48.81,5.959,93.94,2264.0,61.6,-1.11,1.804,0.812,-0.644,1,1,0,3.46,1.61,0
Changeup,L,5.75,-2.855,52.19,5.94,81.34,2347.0,307.5,0.115,4.185,1.954,-1.285,1,2,2,3.3,1.81,1
4-Seam Fastball,L,6.16,-2.766,51.55,6.231,93.49,2646.0,136.1,-0.49,1.822,-0.912,1.701,1,1,0,3.66,1.22,1
Slider,R,5.93,-2.656,48.43,6.172,87.33,2458.0,338.6,1.106,1.051,0.464,1.905,0,1,1,3.2,1.18,0
Slider,L,5.95,-2.838,51.42,6.036,87.93,2452.0,349.4,1.239,1.589,-0.216,0.707,2,0,2,3.31,1.12,0
Slider,R,6.01,-2.854,51.27,5.648,86.41,2154.0,253.5,0.223,2.423,0.189,-1.401,1,0,1,3.37,1.26,1
Changeup,L,6.0,-2.733,51.81,5.987,83.03,2509.0,4.6,-0.168,2.863,-0.975,-1.167,3,0,0,3.79,1.36,0
Knuckle Curve,R,6.02,-2.778,48.94,5.896,81.12,2865.0,287.6,-0.538,3.84,-1.492,0.174,0,1,0,3.88,1.75,0
4-Seam Fastball,R,5.84,-2.739,50.58,5.965,94.3,1870.0,131.1,0.487,3.65,1.149,1.386,1,2,2,3.81,1.37,0
Changeup,R,5.72,-2.756,51.06,5.949,82.95,2669.0,193.9,-1.558,3.353,0.072,-1.658,1,2,0,3.39,1.21,0
Slider,R,6.33,-2.835,50.33,5.86,87.33,2363.0,255.6,-0.469,0.865,0.656,-0.729,2,2,1,3.55,1.86,0
4-Seam Fastball,R,6.11,-2.837,48.86,6.123,93.85,2021.0,50.7,-0.618,1.671,1.97,1.682,0,0,2,3.1,1.25,1
4-Seam Fastball,L,6.2,-2.874,49.04,6.002,93.71,1837.0,342.1,1.382,3.05,-0.626,1.818,0,2,0,3.26,1.53,1
Slider,R,5.91,-2.814,50.35,5.95,86.05,2282.0,213.9,-1.118,3.143,0.583,-1.482,3,1,0,3.17,1.12,1
4-Seam Fastball,L,6.32,-2.835,51.06,5.864,93.64,1395.0,182.0,1.436,2.022,-1.064,-0.067,0,2,2,3.5,1.78,0
Slider,R,6.18,-2.724,49.22,6.14,86.37,2598.0,69.8,-0.746,3.396,0.999,0.238,3,2,2,3.77,1.67,1
Knuckle Curve,L,6.23,-2.903,50.8,5.663,81.36,2253.0,36.5,-0.46,2.293,-1.611,-1.881,0,1,1,3.35,1.89,1
4-Seam Fastball,R,5.43,-2.73,51.86,6.043,93.67,2237.0,18.3,-0.192,2.896,-1.386,1.858,1,0,2,3.11,1.89,1
4-Seam Fastball,L,6.32,-2.784,50.03,6.114,96.41,2368.0,247.9,0.899,2.26,-1.481,-1.194,1,2,0,3.53,1.41,1
4-Seam Fastball,L,5.9,-2.796,51.53,5.909,92.9,2322.0,11.1,0.027,3.313,-1.153,-1.095,0,0,1,3.17,1.65,1
4-Seam Fastball,R,5.96,-2.802,49.31,6.19,92.97,2253.0,111.1,0.319,4.118,-1.206,-1.672,2,1,1,3.22,1.76,0
4-Seam Fastball,R,5.69,-2.781,50.88,5.915,94.0,2558.0,129.9,0.726,1.195,1.735,1.288,1,0,0,3.88,1.34,0
Changeup,L,5.97,-2.77,51.19,6.253,79.99,2422.0,93.7,0.193,1.796,0.568,-1.72,3,2,1,3.43,1.5,1
4-Seam Fastball,R,6.1,-2.773,47.96,6.144,95.31,2897.0,180.2,0.702,1.789,1.426,-1.148,1,2,0,3.6,1.16,1
4-Seam Fastball,R,5.52,-2.82,50.38,5.785,94.73,2517.0,38.8,-0.199,4.172,-0.033,-1.849,2,0,2,3.47,1.84,0
Changeup,L,5.65,-2.787,48.63,5.866,83.41,1428.0,45.6,1.372,2.246,1.767,-0.311,3,2,0,3.62,1.54,1
Slider,R,6.17,-2.796,50.88,5.881,88.59,1957.0,264.9,-0.207,3.81,1.703,-1.735,3,2,0,3.76,1.4,0
4-Seam Fastball,L,5.97,-2.928,51.51,5.772,94.14,1645.0,81.7,-1.489,2.274,-1.801,-1.692,2,2,0,3.78,1.31,0
Cutter,R,5.74,-2.914,50.52,5.73,91.72,2582.0,32.8,-0.287,2.462,-0.3,0.819,1,2,0,3.29,1.28,1
Changeup,L,5.75,-2.755,48.98,6.117,81.93,2606.0,201.4,0.27,2.163,1.487,1.992,0,1,1,3.2,1.82,0
4-Seam Fastball,R,6.07,-2.785,49.75,6.134,94.69,1738.0,41.2,-0.218,3.269,1.236,0.804,2,1,1,3.36,1.37,1
Knuckle Curve,L,6.17,-2.913,49.73,5.931,81.72,1556.0,256.5,-1.296,3.045,0.855,-0.833,2,0,2,3.69,1.12,0
4-Seam Fastball,R,6.23,-2.843,49.9,5.963,94.33,2557.0,187.7,0.137,0.842,1.985,1.237,0,0,0,3.19,1.81,0
Slider,R,6.1,-2.752,51.23,5.863,86.73,2192.0,118.3,1.373,2.228,1.632,1.643,1,1,0,3.13,1.23,1
Changeup,L,6.08,-2.806,50.26,5.902,82.28,1848.0,316.0,-0.887,1.858,-0.701,-0.454,0,0,2,3.63,1.12,0
Slider,R,6.3,-2.826,47.43,5.796,86.1,2642.0,324.3,-0.0,3.259,-1.552,-1.186,3,2,2,3.41,1.62,1
Cutter,L,6.07,-2.973,51.81,5.508,89.45,2008.0,8.5,0.338,4.078,-0.411,0.775,3,1,0,3.49,1.9,0
4-Seam Fastball,R,5.78,-2.797,51.11,6.079,93.4,2340.0,123.9,-0.857,4.117,0.579,-0.925,0,1,2,3.14,1.44,0
Slider,R,5.88,-2.839,48.96,5.776,86.96,2897.0,112.5,1.324,3.872,-0.034,-0.731,3,2,0,3.15,1.44,1
Knuckle Curve,L,5.64,-2.728,49.89,6.225,84.77,2550.0,347.1,-1.06,2.356,1.928,-0.743,3,2,1,3.89,1.9,0
Changeup,R,6.31,-2.807,50.07,5.993,81.11,2858.0,331.0,-0.8,1.09,-1.479,0.302,0,0,1,3.18,1.88,0
Changeup,R,5.55,-2.808,50.17,6.095,81.4,2131.0,60.7,1.498,2.423,1.734,-1.998,2,2,2,3.23,1.32,1
4-Seam Fastball,R,6.13,-2.796,48.69,5.983,94.01,2324.0,100.3,0.175,3.413,0.253,0.115,2,1,2,3.8,1.45,1
4-Seam Fastball,L,6.4,-2.703,47.24,5.884,91.83,2239.0,359.7,1.526,1.98,-1.825,1.22,0,0,2,3.12,1.22,0
Changeup,R,6.13,-2.723,51.39,6.117,80.45,2231.0,5.8,-1.53,4.039,1.871,1.374,3,0,1,3.52,1.14,0
4-Seam Fastball,R,6.11,-2.702,48.05,6.246,93.85,2736.0,311.8,-1.38,0.903,1.623,-1.838,3,1,2,3.36,1.25,0
Slider,R,6.65,-2.781,50.43,6.214,88.3,2139.0,203.5,0.263,3.221,-1.347,0.002,0,2,1,3.27,1.4,1
4-Seam Fastball,L,6.11,-2.761,51.21,6.158,95.17,2212.0,111.6,1.474,2.457,-1.185,-0.549,2,0,0,3.61,1.11,0
4-Seam Fastball,R,6.17,-2.742,47.97,6.132,92.82,2780.0,6.2,-1.213,0.98,0.31,1.795,0,0,2,3.33,1.62,0
Changeup,R,5.58,-2.733,49.82,6.053,80.01,2216.0,203.2,-1.271,3.031,-1.139,1.48,1,2,0,3.37,1.73,0
4-Seam Fastball,R,6.17,-2.8,51.0,6.007,94.04,2361.0,171.9,-1.42,2.491,-1.36,-1.22,2,1,2,3.12,1.17,1
Slider,R,5.84,-2.791,49.07,6.104,85.08,2236.0,147.4,0.611,1.085,-1.78,1.245,3,0,2,3.81,1.76,0
Slider,L,6.44,-2.809,49.71,5.866,86.39,2138.0,139.8,-1.306,1.052,0.67,1.596,2,1,1,3.69,1.45,0
Knuckle Curve,R,6.28,-2.738,51.87,6.167,84.64,2525.0,12.3,0.992,1.938,-1.392,0.33,0,1,0,3.41,1.88,0
Slider,R,5.72,-2.81,50.34,6.013,85.49,2034.0,204.4,-1.506,2.72,1.258,0.999,2,2,1,3.31,1.6,0
4-Seam Fastball,R,5.66,-2.823,50.17,6.005,92.93,2450.0,236.9,0.999,1.081,1.236,-1.236,0,1,2,3.5,1.51,0
4-Seam Fastball,R,5.59,-2.707,49.46,6.137,94.42,1658.0,269.6,-0.271,2.508,-1.242,-0.481,0,0,0,3.56,1.59,1
Slider,R,6.35,-2.746,49.91,6.087,86.73,1787.0,9.5,-1.527,1.287,1.669,-1.371,0,1,0,3.85,1.51,0
Cutter,R,5.65,-2.806,50.59,5.879,91.37,2276.0,113.0,-0.651,2.611,1.464,-1.016,3,1,0,3.65,1.3,1
Changeup,R,5.62,-2.737,48.16,6.216,81.97,2268.0,296.5,-0.006,1.944,-1.169,0.926,1,1,2,3.34,1.14,1
4-Seam Fastball,R,6.22,-2.686,49.11,5.958,94.42,2531.0,34.0,1.028,3.111,-0.439,0.413,1,2,2,3.46,1.31,1
Changeup,R,6.25,-2.896,49.24,5.684,83.43,2500.0,95.2,0.625,2.711,0.215,-0.723,3,0,2,3.16,1.21,1
Changeup,R,5.77,-2.832,48.57,5.966,84.41,2022.0,291.3,0.964,2.039,0.237,-1.729,0,1,0,3.49,1.3,0
Changeup,R,5.69,-2.899,49.45,5.722,83.72,2318.0,16.4,1.433,3.758,1.272,1.648,0,0,0,3.64,1.46,0
Changeup,R,5.7,-2.68,47.92,6.174,86.39,2393.0,221.4,-1.461,3.471,-1.026,1.063,0,0,1,3.18,1.26,0
4-Seam Fastball,R,5.74,-2.863,48.81,5.851,93.26,1512.0,47.3,-0.211,1.477,0.231,-1.084,0,0,1,3.77,1.75,0
Cutter,L,6.02,-2.848,48.85,5.941,90.62,2084.0,237.6,0.78,1.23,1.026,0.796,3,2,1,3.7,1.73,0
4-Seam Fastball,R,6.22,-2.719,52.49,6.235,94.31,1369.0,91.1,-0.812,4.103,1.773,-1.469,3,2,2,3.15,1.33,1
4-Seam Fastball,L,6.02,-2.822,51.47,6.14,94.48,2194.0,222.4,0.496,2.228,-1.983,-0.386,2,1,0,3.84,1.65,1
Changeup,L,6.07,-2.867,48.7,5.84,84.91,2526.0,93.8,-1.322,2.097,1.984,-0.693,3,1,0,3.67,1.77,0
Changeup,R,6.02,-2.843,49.44,5.853,80.91,2110.0,215.2,-0.06,3.392,1.854,-1.569,0,0,0,3.76,1.14,0
4-Seam Fastball,L,6.28,-2.852,50.89,5.836,95.99,2204.0,95.1,-0.189,1.288,-0.477,-1.624,0,1,1,3.17,1.89,0
4-Seam Fastball,R,5.86,-2.891,49.31,5.793,94.42,2946.0,277.9,0.592,1.768,0.121,-1.639,3,0,0,3.41,1.87,0
4-Seam Fastball,R,6.54,-2.718,50.1,6.254,93.95,1647.0,288.1,-0.86,3.361,-1.981,-0.461,0,1,2,3.37,1.8,1
4-Seam Fastball,L,5.98,-2.774,49.49,6.149,93.53,1849.0,222.3,-0.898,1.94,-1.239,-1.997,2,0,1,3.13,1.88,0
Changeup,R,5.9,-2.8,50.34,5.846,81.84,1638.0,192.6,0.252,2.943,-1.096,-0.091,2,1,2,3.32,1.82,1
4-Seam Fastball,R,5.65,-2.721,48.45,6.207,93.04,2450.0,238.3,-0.356,0.923,0.933,0.385,1,0,2,3.53,1.78,0
4-Seam Fastball,R,6.29,-2.728,50.0,6.105,94.59,2259.0,38.6,-0.066,1.248,-0.48,1.081,2,2,2,3.28,1.47,0
4-Seam Fastball,R,5.54,-2.841,50.92,5.992,91.73,2364.0,73.0,0.896,1.94,1.96,-0.207,0,1,2,3.31,1.74,0
4-Seam Fastball,L,5.71,-2.711,49.62,6.229,93.86,2098.0,35.2,-0.658,2.338,-1.427,-0.272,2,2,2,3.3,1.16,1
Slider,R,5.92,-2.702,49.43,6.251,89.26,2252.0,24.8,-1.221,1.935,-1.633,-1.632,3,1,1,3.7,1.56,0
4-Seam Fastball,L,5.57,-2.77,48.86,6.047,91.3,2418.0,354.6,-0.561,1.551,1.023,-0.645,3,0,0,3.29,1.38,1
Changeup,R,6.27,-2.809,48.86,6.004,82.38,1874.0,330.0,0.32,2.677,-0.252,1.98,3,2,0,3.8,1.35,1
Knuckle Curve,L,5.87,-2.839,52.32,6.084,82.76,2089.0,234.1,-0.828,1.253,-1.478,-1.578,0,1,0,3.57,1.1,1
4-Seam Fastball,R,5.87,-2.814,49.53,6.07,93.27,2687.0,211.6,-1.354,1.072,0.678,0.467,0,0,1,3.84,1.33,0
Slider,R,5.98,-2.966,50.53,5.688,88.55,1994.0,114.8,-0.455,1.815,1.052,-0.543,3,2,1,3.71,1.54,1
4-Seam Fastball,R,6.11,-2.684,49.54,6.231,94.65,2555.0,143.5,-0.062,1.873,0.907,-0.474,2,2,2,3.46,1.68,1
Knuckle Curve,R,5.71,-2.762,49.77,5.922,81.22,1989.0,261.2,0.064,0.838,1.658,-0.583,3,2,1,3.53,1.12,0
Changeup,R,6.36,-2.746,50.51,6.3,79.52,2877.0,290.7,-0.856,3.631,1.67,0.578,2,1,1,3.46,1.73,1
Slider,R,6.05,-2.773,48.88,6.172,86.79,2810.0,256.0,0.92,2.024,-1.086,0.568,3,1,0,3.73,1.42,1
4-Seam Fastball,L,6.71,-2.841,51.4,6.111,93.05,1936.0,43.0,-0.835,3.723,0.586,0.758,1,2,2,3.69,1.19,1
Changeup,R,6.05,-2.553,48.59,6.3,82.34,2169.0,302.7,1.017,3.318,1.028,0.167,0,0,1,3.61,1.37,1
Slider,R,5.91,-2.841,50.26,5.9,87.61,1914.0,184.5,0.876,1.29,1.495,0.446,2,1,2,3.81,1.43,0
4-Seam Fastball,R,5.88,-2.81,48.0,6.06,94.3,1905.0,110.7,-1.187,2.807,1.274,-1.679,2,2,2,3.54,1.17,1
4-Seam Fastball,R,6.34,-2.758,51.12,6.077,94.94,2164.0,220.3,0.541,1.921,0.045,-0.92,0,1,0,3.76,1.75,0
4-Seam Fastball,L,6.07,-2.773,49.34,6.065,92.94,2686.0,226.3,0.229,2.458,0.471,-0.974,2,2,1,3.7,1.73,1
4-Seam Fastball,R,6.28,-2.811,49.15,5.814,95.14,2402.0,181.4,-1.438,2.766,-1.021,-1.19,1,2,2,3.73,1.69,0
Changeup,R,6.27,-2.984,50.67,5.584,81.64,2587.0,65.9,0.578,3.465,-0.832,0.802,3,0,2,3.19,1.47,1
Slider,R,5.92,-2.745,49.94,6.106,85.01,1251.0,83.8,1.427,1.537,0.919,0.888,0,1,2,3.29,1.18,0
4-Seam Fastball,R,6.16,-2.733,52.45,6.098,93.53,1784.0,130.9,-1.012,0.894,-0.338,-1.486,2,1,1,3.46,1.53,0
Cutter,L,6.18,-2.857,51.65,5.927,89.88,1755.0,236.7,-1.044,2.0,-1.856,-0.86,0,1,1,3.66,1.39,1
Changeup,R,5.73,-2.79,50.43,6.117,81.21,2380.0,329.8,1.528,1.985,0.724,-0.652,3,0,1,3.76,1.11,0
Slider,L,5.92,-2.809,48.03,5.909,89.13,2078.0,316.5,1.115,1.876,0.982,0.439,1,1,2,3.51,1.78,0
4-Seam Fastball,R,5.76,-2.85,51.88,5.879,94.48,1661.0,331.1,-0.931,3.793,-1.337,-1.57,0,0,1,3.25,1.83,0
4-Seam Fastball,R,5.54,-2.828,49.67,6.171,92.72,1813.0,128.1,0.491,3.546,-0.16,1.136,0,1,1,3.33,1.81,0
Knuckle Curve,R,6.15,-2.646,50.33,5.956,81.22,2690.0,298.2,-1.465,2.643,-0.601,0.987,3,2,2,3.79,1.77,0
Changeup,R,5.65,-2.928,49.54,5.798,82.13,2260.0,79.7,0.133,3.707,-1.188,1.46,3,0,0,3.78,1.75,1
4-Seam Fastball,R,5.98,-2.852,48.09,5.978,94.95,2172.0,315.1,1.026,3.975,1.344,0.934,1,0,0,3.56,1.69,0
Slider,R,5.97,-2.755,49.7,5.987,86.34,2128.0,128.0,-0.121,2.552,1.123,-1.563,2,2,0,3.17,1.86,1
4-Seam Fastball,L,6.21,-2.843,49.54,5.86,93.64,2376.0,38.2,-0.367,3.206,0.9,-1.272,0,1,1,3.18,1.7,1
Knuckle Curve,R,5.9,-2.749,47.0,5.868,84.15,2816.0,212.6,-0.374,3.808,1.792,0.219,1,0,2,3.3,1.54,1
Knuckle Curve,R,6.25,-2.829,47.24,6.02,84.29,2604.0,324.1,-0.235,3.942,-0.808,-0.038,1,2,1,3.72,1.41,1
4-Seam Fastball,R,5.76,-2.781,50.8,6.083,95.91,2290.0,146.4,0.91,1.154,-1.741,-0.833,3,0,0,3.31,1.39,0
Knuckle Curve,R,6.21,-2.676,50.48,6.231,80.72,1764.0,343.2,0.416,3.822,-0.857,-0.427,3,0,2,3.18,1.35,0
Slider,R,5.83,-2.779,49.36,5.87,86.82,2129.0,45.9,-1.474,4.124,1.62,-0.347,2,0,1,3.54,1.41,0
Cutter,R,6.54,-2.815,51.88,5.854,89.88,2007.0,84.7,0.206,1.658,-0.261,-0.364,3,1,0,3.9,1.77,1
Slider,R,6.24,-2.732,51.03,6.251,82.47,2469.0,183.2,1.142,1.039,-0.124,1.776,3,0,0,3.64,1.77,0
4-Seam Fastball,R,6.01,-2.812,48.11,6.06,92.62,2789.0,67.6,1.032,1.22,-1.708,0.333,3,0,2,3.58,1.28,0
4-Seam Fastball,R,5.63,-2.741,50.53,6.01,93.48,1929.0,258.7,-0.376,3.903,1.15,1.826,3,0,0,3.36,1.5,1
4-Seam Fastball,L,5.6,-2.704,52.07,6.165,94.56,1748.0,297.1,-1.556,3.576,-1.118,0.623,3,0,0,3.35,1.24,0
Changeup,R,6.12,-2.908,49.21,5.896,84.16,3200.0,23.4,-0.13,3.998,-1.012,0.928,0,1,1,3.62,1.76,1
4-Seam Fastball,R,5.9,-2.643,48.31,5.977,93.18,2654.0,147.1,-1.298,3.063,-1.116,-0.147,0,0,0,3.24,1.44,0
4-Seam Fastball,R,6.46,-2.972,48.83,5.851,92.38,1934.0,182.2,-0.787,1.669,-0.045,1.055,0,2,1,3.18,1.21,1
Cutter,L,5.99,-2.663,48.32,6.07,92.3,2137.0,63.0,-0.282,1.437,-0.715,0.948,3,1,0,3.76,1.5,0
4-Seam Fastball,R,5.5,-2.745,48.49,6.005,93.27,2708.0,69.7,-0.572,1.984,-0.559,1.941,3,1,1,3.37,1.72,1
Cutter,L,6.19,-2.897,49.96,6.022,91.97,1430.0,328.8,-1.553,2.232,0.809,1.774,0,2,2,3.53,1.67,0
Cutter,R,5.65,-2.729,49.61,6.031,91.48,2326.0,54.0,-0.272,2.423,0.286,1.688,3,0,0,3.5,1.41,1
Cutter,R,5.69,-2.801,48.51,5.921,91.29,2144.0,123.0,0.073,1.325,-0.751,0.867,1,1,2,3.83,1.52,0
Slider,R,6.1,-2.928,48.15,5.683,87.31,2717.0,76.9,-1.479,3.013,1.049,0.65,2,0,0,3.16,1.62,0
4-Seam Fastball,R,6.07,-2.843,50.83,5.641,93.19,2234.0,340.9,-0.249,2.099,1.884,0.383,3,2,0,3.4,1.37,1
Slider,R,6.3,-2.761,48.68,6.256,86.81,2518.0,262.0,-1.191,1.778,1.613,-1.902,1,0,0,3.38,1.77,0
Changeup,L,6.13,-2.817,50.62,5.972,83.05,2074.0,195.7,-0.778,3.797,0.336,-1.371,1,2,2,3.29,1.88,1
4-Seam Fastball,L,5.67,-2.701,50.17,6.121,93.07,2035.0,336.4,1.0,3.777,0.066,-1.497,1,0,1,3.71,1.42,0
Changeup,R,6.34,-2.707,48.07,6.258,81.21,1792.0,53.6,0.39,2.114,0.441,1.936,2,2,1,3.12,1.72,1
Slider,R,6.21,-2.902,48.65,5.871,86.68,2101.0,157.7,0.923,3.36,1.707,-1.998,3,1,1,3.54,1.6,1
4-Seam Fastball,L,5.74,-2.892,52.15,5.874,95.62,2678.0,333.2,-1.213,0.964,-0.12,0.661,2,2,0,3.45,1.74,0
Slider,R,6.06,-2.806,49.83,5.987,82.61,2298.0,80.4,0.789,1.601,-1.947,-1.521,0,0,0,3.6,1.61,0
Changeup,L,6.37,-2.778,48.58,6.247,81.8,2179.0,108.1,1.334,3.785,-1.795,0.007,2,2,0,3.71,1.47,0
Slider,R,5.94,-2.689,50.52,6.072,86.44,1958.0,73.8,0.488,2.299,1.378,-0.707,1,1,2,3.58,1.56,1
4-Seam Fastball,L,6.31,-2.717,51.24,6.239,92.94,1657.0,22.1,1.332,3.534,0.959,0.78,1,0,2,3.63,1.32,0
4-Seam Fastball,R,5.76,-2.738,50.2,6.061,92.69,2563.0,269.3,1.112,3.984,1.709,-1.887,3,1,1,3.85,1.49,0
4-Seam Fastball,R,6.13,-2.706,50.12,5.984,92.88,2905.0,212.5,0.404,1.92,1.78,1.071,2,1,2,3.41,1.15,1
Cutter,R,6.34,-2.807,50.95,6.0,92.46,2005.0,227.5,-0.836,3.133,-1.277,-1.834,1,1,0,3.48,1.27,1
Changeup,R,6.14,-2.786,51.46,6.016,82.29,2168.0,113.1,-0.659,1.113,1.094,0.541,3,0,2,3.38,1.11,1
Cutter,R,5.99,-2.711,50.07,6.119,90.38,2220.0,135.8,-1.081,3.855,-0.646,0.09,1,1,2,3.7,1.88,0
4-Seam Fastball,R,5.95,-2.727,50.47,5.927,92.38,2213.0,349.1,0.492,1.316,-0.048,1.223,0,2,1,3.87,1.74,0
Slider,L,6.02,-2.73,50.77,6.113,85.74,2403.0,19.8,1.08,2.339,-1.992,1.225,1,0,2,3.27,1.13,0
4-Seam Fastball,R,5.98,-2.846,49.94,6.06,93.94,2017.0,320.7,-0.624,1.461,0.945,1.999,2,1,0,3.55,1.54,0
4-Seam Fastball,L,6.24,-2.749,48.14,6.3,91.31,2143.0,316.8,-0.725,4.047,-1.489,-0.243,0,2,2,3.5,1.7,1
4-Seam Fastball,R,5.84,-2.797,49.1,5.752,93.33,2420.0,319.5,0.261,2.575,1.15,-0.258,2,2,1,3.7,1.36,1
4-Seam Fastball,L,6.21,-2.643,50.72,6.255,94.46,1923.0,120.8,0.412,3.29,1.173,0.594,2,0,0,3.67,1.21,1
4-Seam Fastball,R,5.81,-2.623,49.22,6.041,94.58,2073.0,270.3,1.55,1.293,1.594,0.077,1,0,0,3.69,1.39,0
4-Seam Fastball,R,5.74,-2.756,49.39,6.237,93.73,1656.0,209.2,-0.159,1.255,1.842,-0.114,0,2,1,3.85,1.39,0
Slider,R,5.76,-2.827,49.91,5.956,86.09,2078.0,121.3,0.927,2.392,-1.936,-0.211,1,1,0,3.43,1.17,1
Knuckle Curve,L,5.85,-2.748,48.92,6.021,83.12,1952.0,271.0,-0.095,1.789,1.021,-0.486,3,2,1,3.18,1.45,1
Slider,L,5.82,-2.853,48.7,6.033,89.11,2104.0,64.3,0.591,3.678,-0.284,0.905,2,2,1,3.77,1.84,0
Slider,L,5.72,-2.765,51.16,6.088,85.83,2279.0,94.2,0.265,1.084,-0.414,0.264,0,1,1,3.44,1.86,0
Cutter,R,6.18,-2.83,51.49,6.028,89.38,1865.0,347.3,1.023,1.524,-1.002,-0.252,1,1,2,3.5,1.65,0
